country,year,"Population ages 15-64, female","Population ages 15-64, male",menNotWorking,womenNotWorking,workingMen,workingMenWithAdv,workingMenWithoutAdv,workingWomen,workingWomenWithAdv,workingWomenWithoutAdv
Macoa,2019,251624,227225,35469,69171,191755,179022,12732,182452,161123,21328
Macoa,2020,251426,226970,35430,69117,191539,178821,12718,182308,160997,21311
Macoa,2021,0,0,0,0,0,0,0,0,0,0
Malaysia,1990,5259597,5426846,1034899,2743931,4391946,2182358,2209588,2515665,1050541,1465123
Malaysia,1991,5423579,5602971,1075210,2838158,4527760,2295122,2232638,2585420,1105525,1479894
Malaysia,1992,5587428,5774429,1112732,2931164,4661696,2409631,2252065,2656263,1162380,1493882
Malaysia,1993,5753509,5945377,1152808,3026345,4792568,2525204,2267363,2727163,1220678,1506485
Malaysia,1994,5925941,6122485,1193884,3124748,4928600,2646165,2282434,2801192,1281825,1519366
Malaysia,1995,6107322,6310034,1241183,3228941,5068850,2772154,2296695,2878380,1345930,1532450
Malaysia,1996,6301061,6515183,1292612,3340192,5222570,2908449,2314120,2960868,1414110,1546757
Malaysia,1997,6503799,6729338,1341829,3452866,5387508,3054178,2333329,3050932,1487634,1563297
Malaysia,1998,6713392,6951384,1354129,3552055,5597254,3229056,2368198,3161336,1573080,1588255
Malaysia,1999,6926253,7179135,1402802,3670221,5776332,3390129,2386202,3256031,1652761,1603269
Malaysia,2000,7138937,7410528,1459132,3790775,5951395,3552387,2399007,3348161,1733008,1615153
Malaysia,2001,7322507,7625478,1505269,3892644,6120208,3714354,2405853,3429862,1809595,1620266
Malaysia,2002,7514937,7854776,1564671,4005461,6290104,3880365,2409738,3509475,1886694,1622781
Malaysia,2003,7716046,8097730,1626833,4122683,6470896,4056604,2414291,3593362,1967725,1625637
Malaysia,2004,7922308,8349621,1691633,4242395,6657987,4240472,2417515,3679912,2051918,1627993
Malaysia,2005,8128615,8604204,1747513,4357750,6856690,4435593,2421097,3770864,2140342,1630521
Malaysia,2006,8310734,8835265,1815646,4464526,7019618,4611187,2408430,3846207,2221569,1624638
Malaysia,2007,8499172,9074336,1882017,4574254,7192318,4796557,2395761,3924917,2306281,1618636
Malaysia,2008,8697101,9319909,1984208,4739050,7335700,4965535,2370164,3958050,2365331,1592719
Malaysia,2009,8904506,9567873,2046568,4795076,7521304,5166384,2354920,4109429,2496889,1612540
Malaysia,2010,9116288,9811501,2099661,4923707,7711839,5374381,2337458,4192580,2589337,1603242
Malaysia,2011,9327050,10037290,2055636,4864989,7981653,5562414,2419238,4462060,2755768,1706292
Malaysia,2012,9523650,10240158,2008094,4818014,8232063,5806897,2425165,4705635,2910435,1795200
Malaysia,2013,9710736,10428380,1998077,4620368,8430302,6024294,2406008,5090367,3232383,1857984
Malaysia,2014,9893321,10611415,2064981,4596436,8546433,6155141,2391292,5296884,3435029,1861854
Malaysia,2015,10073306,10793929,2085387,4630698,8708541,6419066,2289475,5442607,3561642,1880964
Malaysia,2016,10238733,10958404,2152230,4678077,8806173,6424103,2382070,5560655,3666696,1893959
Malaysia,2017,10404704,11126626,2187494,4701885,8939131,6585457,2353673,5702818,3754165,1948652
Malaysia,2018,10566553,11292804,2162571,4713739,9130232,6791066,2339165,5852813,3908508,1944304
Malaysia,2019,10718631,11449495,2182273,4770862,9267221,7066256,2200965,5947768,4015338,1932429
Malaysia,2020,10858485,11593231,2209669,4833111,9383561,7568780,1814780,6025373,4380446,1644927
Malaysia,2021,0,0,0,0,0,0,0,0,0,0
Maldives,1990,54428,56467,11999,43264,44467,14709,29757,11163,1738,9425
Maldives,1991,56309,57726,12641,43937,45084,15364,29719,12371,2049,10321
Maldives,1992,58258,58986,13295,44549,45690,16028,29662,13708,2408,11299
Maldives,1993,60296,60300,14007,45119,46292,16702,29590,15176,2818,12358
Maldives,1994,62484,61761,14834,45694,46926,17400,29525,16789,3285,13503
Maldives,1995,64831,63441,15834,46282,47606,18128,29477,18548,3815,14732
Maldives,1996,67272,65549,16636,46801,48912,19115,29797,20470,4415,16055
Maldives,1997,69839,67880,17574,47301,50305,20162,30143,22537,5086,17450
Maldives,1998,72576,70523,18653,47798,51869,21308,30561,24777,5840,18937
Maldives,1999,75530,73579,19851,48293,53727,22608,31118,27236,6691,20544
Maldives,2000,78710,77113,21152,48752,55960,24107,31852,29957,7660,22297
Maldives,2001,82395,82371,22775,51002,59595,26269,33325,31392,8340,23051
Maldives,2002,86266,88195,24394,53286,63800,28761,35039,32979,9092,23887
Maldives,2003,90250,94407,25943,55557,68463,31548,36915,34692,9911,24780
Maldives,2004,94196,100714,27333,57732,73380,34547,38832,36463,10782,25681
Maldives,2005,97996,106888,28528,59767,78359,37675,40684,38228,11686,26541
Maldives,2006,101670,113105,30165,61693,82939,40706,42232,39976,12620,27356
Maldives,2007,105080,119254,31506,63405,87747,43943,43803,41674,13573,28101
Maldives,2008,108295,125702,32607,64977,93094,47552,45542,43318,14541,28776
Maldives,2009,111432,133128,33614,66502,99513,50831,48681,44929,15082,29846
Maldives,2010,114556,142016,32933,66431,109082,55719,53363,48124,16155,31969
Maldives,2011,117355,153890,32655,66035,121234,61926,59307,51319,17227,34091
Maldives,2012,120302,167245,32194,65576,135050,68983,66066,54725,18371,36354
Maldives,2013,123197,181731,31457,64924,150273,76759,73513,58272,19561,38710
Maldives,2014,125820,196914,30501,63979,166412,162917,3494,61840,52898,8942
Maldives,2015,128090,212384,32367,67887,180016,176236,3780,60202,51497,8705
Maldives,2016,130104,228513,36127,71934,192385,177686,14698,58169,42911,15257
Maldives,2017,131824,244835,37165,73017,207669,191803,15865,58806,43381,15424
Maldives,2018,133394,259675,37185,74740,222489,205491,16998,58653,43268,15384
Maldives,2019,135030,271197,36367,76899,234829,224684,10144,58130,51381,6748
Maldives,2020,136854,278322,37322,77938,240999,230587,10411,58915,52075,6840
Maldives,2021,0,0,0,0,0,0,0,0,0,0
Mongolia,1990,613773,596406,204626,281230,391779,228799,162980,332542,180337,152204
Mongolia,1991,625292,607694,202848,281881,404845,240478,164367,343410,189665,153744
Mongolia,1992,636811,619117,200717,281852,418399,252713,165686,354958,199593,155365
Mongolia,1993,648049,630527,201012,283521,429514,263722,165792,364527,208619,155908
Mongolia,1994,658776,641938,203365,286699,438572,273668,164903,372076,216660,155416
Mongolia,1995,669307,653811,207715,291081,446095,282824,163270,378225,224022,154202
Mongolia,1996,683151,669358,211717,295599,457640,294720,162919,387551,233422,154129
Mongolia,1997,695291,684475,216362,299879,468112,306145,161966,395411,242110,153301
Mongolia,1998,707219,700047,221074,303821,478972,318037,160934,403397,251034,152363
Mongolia,1999,721166,717408,226485,308875,490922,330881,160040,412290,260691,151599
Mongolia,2000,738277,737041,232167,315096,504873,345333,159539,423180,271808,151371
Mongolia,2001,757739,756781,239218,323706,517562,359188,158374,434032,283119,150913
Mongolia,2002,780678,778775,248273,334910,530501,373473,157028,445767,295231,150535
Mongolia,2003,805875,802228,259039,348138,543188,387836,155351,457737,307736,150000
Mongolia,2004,830878,825440,270991,361847,554448,401420,153027,469030,320019,149011
Mongolia,2005,854131,847312,280121,372999,567190,416317,150872,481131,333087,148044
Mongolia,2006,875756,867048,288380,382792,578667,430528,148138,492963,346207,146755
Mongolia,2007,895278,885002,296210,391146,588791,443949,144842,504131,359092,145038
Mongolia,2008,913171,901558,302292,397685,599265,451846,147419,515485,367180,148305
Mongolia,2009,930537,917588,303171,405155,614416,495465,118951,525381,401075,124305
Mongolia,2010,947946,933504,304789,417949,628714,500519,128194,529996,386685,143311
Mongolia,2011,963127,946548,296458,416841,650089,525857,124232,546285,397641,148644
Mongolia,2012,978664,959868,310997,423761,648870,503653,145217,554902,393092,161809
Mongolia,2013,993890,972827,303716,430254,669110,511802,157307,563635,388175,175459
Mongolia,2014,1008142,984877,301470,434307,683406,538865,144540,573834,400995,172838
Mongolia,2015,1021255,995910,299370,440875,696539,544345,152193,580379,392800,187578
Mongolia,2016,1032385,1004552,313420,456623,691131,519731,171400,575761,380117,195643
Mongolia,2017,1043506,1013347,308564,454759,704782,524287,180494,588746,395578,193167
Mongolia,2018,1054483,1022224,285813,469772,736410,559303,177106,584710,363865,220845
Mongolia,2019,1065397,1031359,267534,438197,763824,588297,175526,627199,394257,232941
Mongolia,2020,1076509,1041096,270060,442768,771035,590921,180113,633740,406608,227132
Mongolia,2021,0,0,0,0,0,0,0,0,0,0
Myanmar,1990,12454464,11674148,956112,4137372,10718035,5086779,5631255,8317091,3770968,4546122
Myanmar,1991,12716864,11916848,965264,4211825,10951583,5307137,5644446,8505038,3941234,4563804
Myanmar,1992,12966360,12150246,1013330,4337247,11136915,5508318,5628597,8629112,4085021,4544091
Myanmar,1993,13213410,12382274,1048778,4447633,11333495,5718881,5614613,8765776,4237375,4528400
Myanmar,1994,13471908,12623106,1091898,4572365,11531207,5933959,5597248,8899542,4391033,4508508
Myanmar,1995,13749010,12877392,1135785,4703536,11741606,6159646,5581959,9045473,4553491,4491982
Myanmar,1996,14043285,13127706,1176242,4835103,11951463,6389252,5562211,9208181,4727480,4480701
Myanmar,1997,14352552,13385643,1214077,4971724,12171565,6628634,5542930,9380827,4909925,4470902
Myanmar,1998,14668767,13647388,1254194,5114999,12393193,6873264,5519928,9553767,5095979,4457788
Myanmar,1999,14979347,13905947,1319674,5296697,12586272,7106209,5480063,9682649,5261551,4421098
Myanmar,2000,15274820,14155804,1402840,5500462,12752963,7327852,5425110,9774357,5409128,4365228
Myanmar,2001,15511871,14356828,1468703,5674242,12888124,7534397,5353727,9837628,5542519,4295109
Myanmar,2002,15736175,14552516,1539656,5855430,13012859,7737446,5275413,9880744,5665618,4215125
Myanmar,2003,15946888,14739566,1624300,6050249,13115265,7929489,5185776,9896638,5773698,4122940
Myanmar,2004,16146094,14915679,1709336,6243694,13206342,8116617,5089724,9902399,5876083,4026315
Myanmar,2005,16337871,15081746,1797744,6438754,13284001,8297187,4986814,9899116,5973126,3925989
Myanmar,2006,16500706,15209687,1876875,6621733,13332811,8461002,4871809,9878972,6059761,3819211
Myanmar,2007,16663630,15334086,1953562,6798761,13380523,8625085,4755438,9864868,6149758,3715110
Myanmar,2008,16831619,15462645,2025606,6966607,13437038,8795885,4641153,9865011,6248498,3616513
Myanmar,2009,17009798,15604088,2111233,7140713,13492854,8967351,4525503,9869084,6349768,3519316
Myanmar,2010,17201311,15764377,2200707,7313997,13563669,9150051,4413618,9887313,6460370,3426943
Myanmar,2011,17433227,15975401,2270104,7471881,13705296,9382645,4322650,9961345,6608356,3352989
Myanmar,2012,17675038,16201320,2360532,7649756,13840787,9613810,4226976,10025281,6751024,3274257
Myanmar,2013,17921321,16437757,2462375,7836993,13975381,9847053,4128327,10084327,6891628,3192698
Myanmar,2014,18163138,16676993,2566589,8017209,14110403,10083294,4027109,10145928,7035186,3110742
Myanmar,2015,18392290,16911221,2663517,8184569,14247703,10181408,4066294,10207720,7078033,3129687
Myanmar,2016,18592110,17116425,2914927,8623020,14201497,10148390,4053107,9969089,6912566,3056523
Myanmar,2017,18772490,17309964,3169454,9042708,14140509,10206619,3933889,9729781,6112248,3617532
Myanmar,2018,18940818,17497228,3256234,8962795,14240993,10404469,3836524,9978022,6260211,3717811
Myanmar,2019,19106310,17684517,3535134,9520674,14149382,11366198,2783183,9585635,5103392,4482243
Myanmar,2020,19274484,17875607,3573333,9604475,14302273,11489016,2813256,9670008,5148312,4521695
Myanmar,2021,0,0,0,0,0,0,0,0,0,0
Nepal,1990,5198697,5018632,385932,811516,4632699,2901459,1731239,4387180,2022490,2364690
Nepal,1991,5309174,5185320,403417,825576,4781902,3042724,1739177,4483597,2111774,2371823
Nepal,1992,5425934,5378322,422198,838306,4956123,3203142,1752981,4587627,2206648,2380978
Nepal,1993,5551003,5586500,441333,850413,5145166,3376772,1768393,4700589,2307989,2392600
Nepal,1994,5687091,5794339,459491,862731,5334847,3554609,1780238,4824359,2417003,2407355
Nepal,1995,5835589,5990157,475019,875921,5515137,3729887,1785250,4959667,2534389,2425277
Nepal,1996,5995930,6118984,485235,904186,5633748,3866441,1767307,5091743,2652798,2438945
Nepal,1997,6169187,6227549,493844,932781,5733704,3992378,1741326,5236405,2780531,2455874
Nepal,1998,6349905,6322794,502029,961375,5820764,4111205,1709558,5388529,2915194,2473335
Nepal,1999,6532352,6416893,511426,987691,5905466,4230085,1675381,5544660,3055107,2489552
Nepal,2000,6712789,6519317,536539,1034440,5982777,4345290,1637486,5678348,3185553,2492794
Nepal,2001,6858778,6637030,557510,1076142,6079519,4476350,1603169,5782635,3301884,2480750
Nepal,2002,7003289,6754840,580240,1119125,6174599,4608103,1566495,5884163,3418698,2465464
Nepal,2003,7146562,6871744,606087,1162745,6265656,4738715,1526940,5983816,3536435,2447380
Nepal,2004,7289055,6985041,633543,1208525,6351497,4867152,1484345,6080529,3654398,2426131
Nepal,2005,7433076,7094012,664708,1255446,6429303,4991067,1438235,6177629,3774531,2403097
Nepal,2006,7599652,7244478,701989,1307140,6542488,5144358,1398129,6292511,3907649,2384862
Nepal,2007,7756161,7384474,739185,1358103,6645288,5291642,1353645,6398057,4037174,2360883
Nepal,2008,7908546,7501761,776432,1409302,6725328,5355379,1369949,6499243,4101022,2398220
Nepal,2009,8066761,7582427,808286,1433463,6774140,5394247,1379892,6633297,4185610,2447686
Nepal,2010,8237512,7618964,838847,1456392,6780116,5399006,1381109,6781119,4278886,2502233
Nepal,2011,8433914,7530862,860024,1480151,6670837,5311987,1358849,6953762,4387823,2565938
Nepal,2012,8653523,7405183,881957,1495328,6523225,5194444,1328781,7158194,4516820,2641373
Nepal,2013,8890595,7273086,906226,1503399,6366859,5069930,1296929,7387195,4661320,2725875
Nepal,2014,9135797,7170973,937963,1509233,6233009,4963345,1269664,7626563,4812361,2814201
Nepal,2015,9383533,7124283,978164,1516378,6146118,4894154,1251964,7867154,4964174,2902979
Nepal,2016,9653222,7276833,1011479,1511694,6265353,4989100,1276252,8141527,5137303,3004223
Nepal,2017,9927407,7488455,1046886,1513929,6441568,4758387,1683181,8413477,4732581,3680896
Nepal,2018,10200154,7747741,1082359,1522882,6665381,4923717,1741664,8677271,4880964,3796306
Nepal,2019,10464154,8034251,1115957,1538230,6918293,5110543,1807749,8925923,5020831,3905091
Nepal,2020,10712951,8331490,1157243,1574803,7174246,5299615,1874630,9138147,5140207,3997939
Nepal,2021,0,0,0,0,0,0,0,0,0,0
New Zealand,1990,1097567,1088304,182508,405880,905795,425180,480615,691686,335398,356287
New Zealand,1991,1152740,1140938,193845,420980,947092,454036,493056,731759,362147,369611
New Zealand,1992,1164640,1151339,201138,426840,950200,465027,485172,737799,372514,365284
New Zealand,1993,1177295,1162975,202241,431596,960733,479790,480943,745698,383960,361738
New Zealand,1994,1192457,1177213,198713,422487,978499,498447,480051,769969,404156,365812
New Zealand,1995,1210125,1193647,195280,416646,998366,518551,479814,793478,424431,369047
New Zealand,1996,1229739,1209296,194212,405076,1015083,537384,477698,824662,449358,375304
New Zealand,1997,1247157,1222457,195837,412684,1026619,553758,472860,834472,463048,371423
New Zealand,1998,1260585,1231569,205056,419522,1026512,563966,462546,841062,475116,365946
New Zealand,1999,1270372,1237244,210702,419222,1026541,574247,452294,851149,489325,361823
New Zealand,2000,1281236,1244337,210666,420886,1033670,588572,445098,860349,503218,357131
New Zealand,2001,1294368,1254121,209563,412126,1044557,605216,439340,882241,524845,357395
New Zealand,2002,1322181,1278191,205277,411991,1072913,632375,440538,910189,550573,359615
New Zealand,2003,1353368,1305836,221600,419138,1084235,649890,434344,934229,574457,359771
New Zealand,2004,1378289,1328045,216072,424099,1111972,677635,434336,954189,596272,357916
New Zealand,2005,1398299,1346280,210423,414176,1135856,703549,432306,984122,624819,359303
New Zealand,2006,1417140,1364192,205447,411679,1158744,729313,429430,1005460,648421,357039
New Zealand,2007,1431325,1378406,209242,409358,1169163,747563,421600,1021966,669285,352680
New Zealand,2008,1443551,1391209,219811,410545,1171397,760705,410692,1033005,686845,346160
New Zealand,2009,1456974,1405369,231604,415674,1173764,773980,399784,1041299,702772,338526
New Zealand,2010,1470960,1420071,238997,423930,1181073,790610,390462,1047029,717110,329918
New Zealand,2011,1477140,1425648,240079,419655,1185568,805475,380093,1057484,734845,322638
New Zealand,2012,1480518,1428934,248062,418246,1180871,814092,366778,1062271,748795,313476
New Zealand,2013,1487323,1435665,248226,409162,1187438,818620,368818,1078160,759995,318165
New Zealand,2014,1507480,1455200,235160,396617,1220039,1044475,175563,1110862,890022,220839
New Zealand,2015,1533452,1480264,237582,403297,1242681,1071315,171365,1130154,908530,221623
New Zealand,2016,1563230,1509901,226334,390807,1283566,1110413,173153,1172422,938172,234250
New Zealand,2017,1590400,1536244,218607,377720,1317636,1131059,186577,1212680,981664,231015
New Zealand,2018,1612775,1557625,221650,376905,1335974,1126627,209347,1235869,990796,245072
New Zealand,2019,1632178,1576451,233787,379481,1342663,1162477,180185,1252696,1019193,233502
New Zealand,2020,1660051,1604124,237891,385961,1366232,1178375,187856,1274089,1032266,241822
New Zealand,2021,0,0,0,0,0,0,0,0,0,0
Pakistan,1990,27439081,29716021,3901713,23487853,25814307,17398843,8415463,3951227,547640,3403587
Pakistan,1991,28184039,30449606,3994988,24162176,26454617,18094958,8359658,4021862,597648,3424213
Pakistan,1992,28964617,31222019,4102573,24831366,27119445,18820895,8298549,4133250,655533,3477717
Pakistan,1993,29787462,32041207,4581892,25438492,27459314,19331357,8127956,4348969,733236,3615733
Pakistan,1994,30661363,32916518,4651103,26031497,28265414,20181506,8083907,4629865,826894,3802971
Pakistan,1995,31595262,33857010,4868638,27528951,28988371,20987581,8000790,4066310,766906,3299404
Pakistan,1996,32607585,34884814,4974574,28058826,29910239,21954116,7956123,4548758,903383,3645374
Pakistan,1997,33697149,35991183,5096351,28592030,30894831,22985755,7909076,5105118,1064927,4040190
Pakistan,1998,34849394,37162455,5384839,29472132,31777615,23960322,7817292,5377261,1175469,4201792
Pakistan,1999,36047941,38383156,5412024,30348761,32971131,25189944,7781186,5699179,1302832,4396347
Pakistan,2000,37281270,39641278,5446711,31144772,34194566,26466594,7727971,6136497,1464168,4672328
Pakistan,2001,38470298,40835673,5635322,32176557,35200350,27597075,7603275,6293740,1564623,4729116
Pakistan,2002,39694236,42068226,5839069,33140717,36229156,28765950,7463205,6553518,1694739,4858778
Pakistan,2003,40957568,43343042,5985674,33806376,37357367,30035324,7322043,7151191,1920810,5230381
Pakistan,2004,42264297,44664356,6141348,34466534,38523007,31357728,7165278,7797762,2172456,5625306
Pakistan,2005,43615931,46035091,6863832,35311457,39171258,32277117,6894140,8304473,2396671,5907802
Pakistan,2006,44986053,47413562,7671514,36132797,39742047,32747447,6994599,8853255,2555049,6298205
Pakistan,2007,46396534,48845321,7981325,37098668,40863995,33851732,7012263,9297865,2582947,6714918
Pakistan,2008,47842720,50322574,8509547,38015825,41813026,35419814,6393212,9826894,2549096,7277798
Pakistan,2009,49318436,51834354,8749638,38616335,43084715,36156692,6928022,10702100,2881005,7821095
Pakistan,2010,50815769,53371278,9105140,39224692,44266137,36333646,7932491,11591076,3114522,8476554
Pakistan,2011,52247923,54853807,9522620,40136854,45331186,37139840,8191345,12111068,3285732,8825335
Pakistan,2012,53706703,56353987,9540729,41144705,46813257,38354101,8459155,12561997,3408069,9153927
Pakistan,2013,55184366,57875895,9561097,42149818,48314797,40888811,7425985,13034547,4288366,8746181
Pakistan,2014,56670884,59425542,10149882,43030202,49275659,40706622,8569036,13640681,3991263,9649418
Pakistan,2015,58160519,61003778,9961916,43568044,51041861,45958092,5083768,14592474,5707116,8885357
Pakistan,2016,59608997,62541951,9987949,45159776,52554001,47319623,5234378,14449220,5651090,8798130
Pakistan,2017,61062099,64113200,10020893,46761355,54092306,48704713,5387593,14300743,5593020,8707722
Pakistan,2018,62518840,65704035,10059287,48377078,55644747,47036504,8608243,14141761,4130808,10010953
Pakistan,2019,63986169,67302695,10236739,49506098,57065955,48876991,8188963,14480070,5217169,9262900
Pakistan,2020,65468556,68904197,10480328,50653021,58423868,50040044,8383824,14815534,5338036,9477497
Pakistan,2021,0,0,0,0,0,0,0,0,0,0
Philippines,1990,17120625,17492331,3855309,8806849,13637021,7747191,5889829,8313775,3209117,5104658
Philippines,1991,17616230,17982939,3911289,9024794,14071649,8134820,5936829,8591435,3402208,5189227
Philippines,1992,18135902,18496487,3984143,9262005,14512343,8534708,5977634,8873896,3602801,5271094
Philippines,1993,18673788,19027314,4081358,9525499,14945955,8939175,6006779,9148288,3805687,5342600
Philippines,1994,19220288,19565887,4204709,9810034,15361177,9341131,6020045,9410253,4008767,5401485
Philippines,1995,19770710,20107926,4333258,10098878,15774667,9750321,6024346,9671831,4216918,5454913
Philippines,1996,20323684,20644484,4473659,10397596,16170824,10156894,6013929,9926087,4427034,5499052
Philippines,1997,20874527,21179392,4608635,10689845,16570756,10573799,5996957,10184681,4644214,5540467
Philippines,1998,21430609,21720142,4678518,10933896,17041623,11044675,5996947,10496712,4891467,5605244
Philippines,1999,22001622,22275974,4796017,11220827,17479956,11503559,5976397,10780794,5131658,5649136
Philippines,2000,22590137,22849217,4940000,11530005,17909216,11965146,5944069,11060131,5375223,5684907
Philippines,2001,23176163,23402667,5061996,11824478,18340670,12436807,5903862,11351684,5630435,5721249
Philippines,2002,23777522,23969183,5278014,12214513,18691168,12861392,5829776,11563008,5850882,5712126
Philippines,2003,24382864,24546081,5500776,12608378,19045304,13295526,5749777,11774485,6075634,5698850
Philippines,2004,24982173,25134368,5484319,12998224,19650048,13914199,5735849,11983948,6303556,5680391
Philippines,2005,25578051,25742646,5750907,13088288,19991738,14356067,5635671,12489762,6694512,5795249
Philippines,2006,26180855,26405277,5943827,13263221,20461449,14897980,5563468,12917633,7053027,5864605
Philippines,2007,26788584,27095387,6156071,13549665,20939315,15455307,5484007,13238918,7360838,5878079
Philippines,2008,27428531,27823527,6182387,13996779,21641139,16189735,5451403,13431751,7602371,5829380
Philippines,2009,28108164,28577080,6338396,14101865,22238683,16636758,5601924,14006298,7927564,6078733
Philippines,2010,28809653,29329080,6601975,14393302,22727104,16983965,5743138,14416350,8224527,6191822
Philippines,2011,29429700,29967302,6511894,14447039,23455407,17507115,5948291,14982660,8580569,6402090
Philippines,2012,30068248,30596373,6789335,14874762,23807037,17326761,6480275,15193485,8675480,6518005
Philippines,2013,30708223,31214096,7063749,15197499,24150346,17576621,6573724,15510723,8856622,6654100
Philippines,2014,31343681,31834930,7013235,15239297,24821694,17854245,6967449,16104383,9161783,6942599
Philippines,2015,31977373,32472300,7462134,15636935,25010165,17769723,7240442,16340437,9315683,7024754
Philippines,2016,32569641,33065501,7396752,16121972,25668748,18360855,7307892,16447668,9319249,7128419
Philippines,2017,33180992,33703577,8048414,17456519,25655162,18351137,7304025,15724472,8909485,6814986
Philippines,2018,33800341,34365223,8460717,17596457,25904505,18529492,7375012,16203883,9181120,7022763
Philippines,2019,34407302,35013432,8669325,17502994,26344106,18843938,7500167,16904307,9577980,7326326
Philippines,2020,34991277,35628991,8821738,17800062,26807252,19175227,7632025,17191214,9740542,7450672
Philippines,2021,0,0,0,0,0,0,0,0,0,0
Singapore,1990,1104687,1117895,194960,544721,922934,694969,227964,559965,358658,201307
Singapore,1991,1138639,1154361,195895,555428,958465,731309,227156,583210,379378,203832
Singapore,1992,1172978,1194453,200309,564906,994143,768472,225670,608071,401631,206440
Singapore,1993,1200725,1230710,207866,566862,1022843,800886,221956,633862,425004,208857
Singapore,1994,1236091,1276668,214352,573669,1062315,842416,219899,662421,450777,211643
Singapore,1995,1271525,1323568,219712,579815,1103855,886396,217459,691709,477625,214084
Singapore,1996,1318946,1383269,227409,590360,1155859,939713,216145,728585,510374,218211
Singapore,1997,1360823,1439324,235473,599578,1203850,990769,213081,761244,540864,220380
Singapore,1998,1408123,1501372,239168,628867,1262203,1051415,210787,779255,561453,217801
Singapore,1999,1423223,1525966,251174,622375,1274791,1074649,200142,800847,585019,215828
Singapore,2000,1454668,1562454,258586,628416,1303867,1112199,191668,826251,611839,214412
Singapore,2001,1499606,1599213,264030,637932,1335182,1152262,182920,861673,646686,214987
Singapore,2002,1521389,1605034,269645,661043,1335388,1165794,169594,860345,654292,206052
Singapore,2003,1509349,1575319,271742,642680,1303576,1151058,152518,866668,667767,198900
Singapore,2004,1538495,1596056,280746,646321,1315309,1174571,140738,892173,696341,195832
Singapore,2005,1581709,1643134,286891,656567,1356242,1224687,131555,925141,731324,193817
Singapore,2006,1631630,1715568,291303,665378,1424264,1300353,123910,966251,773484,192767
Singapore,2007,1698281,1818361,301847,680501,1516513,1399741,116771,1017779,824910,192869
Singapore,2008,1788902,1955511,338498,670480,1617012,1508672,108339,1118421,917664,200756
Singapore,2009,1843397,2053393,355031,699200,1698361,1584571,113790,1144196,938813,205383
Singapore,2010,1877125,2120603,369833,687215,1750769,1647474,103295,1189909,985126,204783
Singapore,2011,1908065,2166522,383041,682324,1783480,1678255,105225,1225740,1014790,210950
Singapore,2012,1948880,2218453,379577,674702,1838875,1730381,108493,1274177,1054891,219285
Singapore,2013,1977196,2254217,392008,674816,1862208,1752338,109870,1302379,1078239,224139
Singapore,2014,2000941,2285559,386716,653907,1898842,1770670,128171,1347033,1135279,211753
Singapore,2015,2021032,2314018,380424,631976,1933593,1803075,130517,1389055,1170695,218359
Singapore,2016,2037279,2333172,389406,630741,1943765,1812561,131204,1406537,1185429,221107
Singapore,2017,2020947,2312149,371099,624876,1941049,1810028,131020,1396070,1176607,219462
Singapore,2018,2007357,2292607,373694,614451,1918912,1789385,129526,1392905,1173940,218964
Singapore,2019,2006294,2287093,362046,607505,1925046,1795105,129940,1398788,1178898,219889
Singapore,2020,1977125,2250115,356193,598673,1893921,1766082,127839,1378451,1161758,216692
Singapore,2021,0,0,0,0,0,0,0,0,0,0
Sri Lanka,1990,5378410,5437181,930301,2755359,4506879,3049354,1457524,2623050,1581699,1041350
Sri Lanka,1991,5486600,5531424,987912,3013789,4543511,3119575,1423936,2472810,1515832,956977
Sri Lanka,1992,5588858,5621249,1067475,3275070,4553773,3172159,1381614,2313787,1441489,872297
Sri Lanka,1993,5686819,5708098,1086821,3340437,4621276,3265393,1355882,2346381,1485259,861121
Sri Lanka,1994,5782984,5793942,1095634,3366274,4698307,3366807,1331500,2416709,1553943,862765
Sri Lanka,1995,5878365,5879205,1238160,3564052,4641044,3372183,1268861,2314312,1511246,803066
Sri Lanka,1996,5967612,5953218,1176951,3643227,4776266,3518198,1258068,2324384,1541067,783317
Sri Lanka,1997,6058939,6027793,1147691,3728671,4880101,3643483,1236617,2330267,1568270,761997
Sri Lanka,1998,6152559,6103154,1091854,3391905,5011299,3791549,1219750,2760653,1885526,875126
Sri Lanka,1999,6246285,6176964,1092704,3684058,5084259,3897593,1186665,2562226,1775622,786603
Sri Lanka,2000,6338639,6247492,1178901,3779730,5068590,3936267,1132322,2558908,1798912,759995
Sri Lanka,2001,6420882,6304769,1193492,3832624,5111276,4020530,1090746,2588257,1845427,742829
Sri Lanka,2002,6500185,6356978,1204647,3882560,5152330,4104346,1047983,2617624,1892542,725081
Sri Lanka,2003,6576111,6404161,1214228,3929226,5189932,4186199,1003732,2646884,1940166,706718
Sri Lanka,2004,6649558,6447686,1223770,3975770,5223915,4265849,958065,2673787,1986624,687163
Sri Lanka,2005,6720004,6487985,1234663,4021922,5253321,4342395,910925,2698081,2031655,666426
Sri Lanka,2006,6778117,6513823,1237626,4061447,5276196,4414066,862130,2716669,2072818,643850
Sri Lanka,2007,6838147,6541262,1245456,4104939,5295805,4483429,812376,2733207,2112769,620437
Sri Lanka,2008,6897061,6569522,1257406,4148582,5312115,4550358,761757,2748478,2152058,596419
Sri Lanka,2009,6950560,6595568,1272285,4189797,5323282,4613157,710125,2760762,2189284,571477
